Arabic Number,Text,source
١٧,تكفل الدولة توفير خدمات التأمين الاجتماعى. ولكل مواطن لا يتمتع بنظام التأمين الاجتماعى الحق فى الضمان الاجتماعى» بما يضمن له حياة كريمة؛ إذا لم يكن قادرًا على إعالة نفسه وأسرته؛» وفى حالات العجز عن العمل والشيخوخة والبطالة. وتعمل الدولة على توفير معاش مناسب لصغار الفلاحين» والعمال الزراعيين والصيادين» والعمالة غير المنتظمة» وففًا للقانون. وأموال التأمينات والمعاشات أموال خاصة:؛ تتمتع بجميع أوجه وأشكال الحماية المقررة للأموال العامة وهى وعوائدها حق للمستفيدين,constitution
١٨,لكل مواطن الحق فى الصحة وفى الرعاية الصحية المتكاملة وفقاً لمعايير الجودة» وتكفل الدولة الحفاظ على مرافق الخدمات الصحية العامة التي تقدم خدماتها للشعب ودعمها والعمل على رفع كفاءتها وانتشارها الجغرافى العادل. وتلتزم الدولة بتخصيص نسبة من الإنفاق الحكومى للصحة لا تقل عن ” / من الناتج القومى الإجمالى تتصاعد تدريجيا حتى تتفق مع المعدلات العالمية. - 11 - ===== Page 18 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الأول: المقومات الاجتماعية وتلتزم الدولة بإقامة نظام تأمين صحى شامل لجميع المصريين يغطى كل الأمراض» وينظم القانون إسهام المواطنين فى اشتراكاته أو إعفاءهم منها طبقاً لمعدلات دخولهم. ويجرم الامتناع عن تقديم العلاج بأشكاله المختلفة لكل إنسان فى حالات الطوارئ أو الخطر على الحياة. وتلتزم الدولة بتحسين أوضاع الأطباء وهيئات التمريض والعاملين وتخضع جميع المنشات الصحية. والمنتجات والمواد. ووسائل الدعاية المتعلقة بالصحة لرقابة الدولة» وتشجع الدولة مشاركة القطاعين الخاص والأهلى فى خدمات الرعاية الصحية وفقاً للقانون.,constitution
١٩,التعليم حق لكل مواطنء هدفه بناء الشخصية المصرية» والحفاظ على الهوية الوطنية» وتأصيل المنهج العلمى فى التفكيرء وتنمية المواهب وتشجيع الابتكارء وترسيخ القيم الحضارية والروحية» وإرساء مفاهيم المواطنة والتسامح وعدم التمييزء وتلتزم الدولة بمراعاة أهدافه والتعليم إلزامي حتى نهاية المرحلة الثانوية أو ما يعادلها» وتكفل الدولة مجانيته بمراحله المختلفة فى مؤسسات الدولة التعليمية» وفقاً للقانون. وتلتزم الدولة بتخصيص نسبة من الإنفاق الحكومى للتعليم لا تقل عن 5 من الناتج القومى الإجمالى» تتصاعد تدريجيا حتى تتفق مع المعدلات العالمية. -12 - ===== Page 19 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الأول: المقومات الاجتماعية وتشرف الدولة عليه لضمان التزام جميع المدارس والمعاهد العامة والخاصة بالسياسات التعليمية لها.,constitution
٢٠,وتطويره؛ء والتوسع فى أنواعه كافة» وفقا لمعايير الجودة العالمية» وبما يتناسب مع احتياجات سوق العمل.,constitution
٢١,تكفل الدولة استقلال الجامعات والمجامع العلمية واللغوية» وتوفير التعليم الجامعى وفمًا لمعايير الجودة العالمية» وتعمل على تطوير التعليم الجامعى وتكفل مجانيته فى جامعات الدولة ومعاهدهاء وفقا للقانون. وتلتزم الدولة بتخصيص نسبة من الإنفاق الحكومى للتعليم الجامعى لا تقل عن ”/ من الناتج القومى الإجمالى تتصاعد تدريجيا حتى تتفق مع المعدلات العالمية. وتعمل الدولة على تشجيع إنشاء الجامعات الأهلية التى لا تستهدف الربح» وتلتزم الدولة بضمان جودة التعليم فى الجامعات الخاصة والأهلية والتزامها بمعايير الجودة العالمية» وإعداد كوادرها من أعضاء هيئات التدريس والباحثين»ء وتخصيص نسبة كافية من عوائدها لتطوير العملية التعليمية والبحتية.,constitution
٢٢,المعلمون» وأعضاء هيئة التدريس ومعاونوهمء الركيزة الأساسية للتعليم» تكفل الدولة تنمية كفاءاتهم العلمية» ومهاراتهم المهنية: ورعاية حقوقهم المادية والادبية» بما يضمن جودة التعليم وتحقيق أهدافه. - 13 - ===== Page 20 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الأول: المقومات الاجتماعية,constitution
٢٣,لتحقيق السيادة الوطنية. وبناء اقتصاد المعرفة. وترعى الباحثين من الناتج القومى الإجمالى تتصاعد تدريجيا حتى تتفق مع المعدلات العالمية. كما تكفل الدولة سبل المساهمة الفعالة للقطاعين الخاص والأهلى وإسهام المصريين فى الخارج فى نهضة البحث العلمى.,constitution
٢٤,اللغة العربية والتربية الدينية والتاريخ الوطنى بكل مراحله مواد أساسية فى التعليم قبل الجامعى الحكومى والخاصء وتعمل الجامعات على تدريس حقوق الإنسان والقيم والأخلاق المهنية للتخصصات العلمية المختلفة.,constitution
٢٥,تلتزم الدولة بوضع خطة شاملة للقضاء على الأمية الهجائية والرقمية بين المواطنين فى جميع الأعمارء وتلتزم بوضع آليات تنفيذها بمشاركة مؤسسات المجتمع المدنى» وذلك وفق خطة زمنية محددة.,constitution
٢٦,إنشاء الرتب المدنية محظور. - 14 - ===== Page 21 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثانى المقومات الاقتصادية,constitution
٢٧,يهدف النظام الاقتصادى إلى تحقيق الرخاء فى البلاد من خلال التنمية المستديمة والعدالة الاجتماعية» بما يكفل رفع معدل النمو الحقيقى لللاقتصاد القومى» ورفع مستوى المعيشة. وزيادة فرص العمل وتقليل معدلات البطالة؛» والقضاء على الفقر. التنافسية وتشجيع الاستثمارء والنمو المتوازن جغرافيا وقطاعيا وبيئياء ومنع الممارسات الاحتكارية. مع مراعاة الاتزان المالى والتجارى والنظام الضريبى العادل» وضبط آليات السوقء وكفالة الأنواع المختلفة للملكية» والتوازن بين مصالح الأطراف المختلفة» بما يحفظ حقوق العاملين ويحمى المستهلك. ويلتزم النظام الاقتصادى اجتماعياً بضمان تكافؤ الفرص والتوزيع العادل لعوائد التنمية وتقليل الفوارق بين الدخول والالتزام بحد أدنى للأجور والمعاشات يضمن الحياة الكريمة» وبحد أقصى فى أجهزة الدولة لكل من يعمل بأجرء وفقا للقانون.,constitution
٢٨,الأنشطة الاقتصادية الإنتاجية والخدمية والمعلوماتية مقومات أساسية للاقتصاد الوطنىء وتلتزم الدولة بحمايتهاء وزيادة تنافسيتهاء وتوفير المناخ الجاذب للاستثمارء» وتعمل على زيادة الإنتاجح» وتشجيع التصديرء وتنظيم الاستيراد. - 15 - ===== Page 22 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثانى: المقومات الاقتصادية وتولى الدولة اهتماماً خاصاً بالمشروعات المتوسطة والصغيرة ومتناهية الصغر فى كافة المجالات» وتعمل على تنظيم القطاع غير الرسمى وتأهيله.,constitution
٢٩,الزراعة مقوم أساسى للاقتصاد الوطنى. وتلتزم الدولة بحماية الرقعة الزراعية وزيادتهاء وتجريم الاعتداء عليهاء كما تلتزم بتنمية الريف ورفع مستوى معيشة سكانه وحمايتهم من المخاطر البيئية» وتعمل على تنمية الإنتاج الزراعى والحيوانى» وتشجيع الصناعات التى تقوم عليهما. وشراء المحاصيل الزراعية الأساسية بسعر مناسب يحقق هامش ربح للفلاح» وذلك بالاتفاق مع الاتحادات والنقابات والجمعيات الزراعية؛ كما تلتزم الدولة بتخصيص نسبة من الأراضى المستصلحة لصغار الفلاحين وشباب الخريجين» وحماية الفلاح والعامل الزراعى من الاستغلال» وذلك كله على النحو الذى ينظمه القانون.,constitution
٣٠,وتمكينهم من مزاولة أعمالهم دون إلحاق الضرر بالنظم البيئية» وذلك على النحو الذى ينظمه القانون. - 16 - ===== Page 23 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثانى: المقومات الاقتصادية,constitution
٣١,أمن الفضاء المعلوماتى جزء أساسى من منظومة الاقتصاد والأمن القومى» وتلتزم الدولة باتخاذ التدابير اللازمة للحفاظ عليه» على النحو الذى ينظمه القانون.,constitution
٣٢,"موارد الدولة الطبيعية ملك للشعبء تلتزم الدولة بالحفاظ عليهاء وحُسن استغلالهاء وعدم استنزافهاء ومراعاة حقوق الأجيال القادمة فيها. كما تلتزم الدولة بالعمل على الاستغلال الأمثل لمصادر الطاقة المتجددة, وتحفيز الاستثمار فيهاء وتشجيع البحث العلمي المتعلق بها وتعمل الدولة على تشجيع تصنيع المواد الأولية» وزيادة قيمتها المضافة وفقاً للجدوى الاقتصادية. ولا يجوز التصرف فى أملاك الدولة العامة» ويكون منح حق استغلال الموارد الطبيعية أو التزام المرافق العامة بقانون» ولمدة لا تتجاوز ثلاثين عاماً. ويكون منح حق استغلال المحاجر والمناجم الصغيرة والملاحات: أو منح التزام المرافق العامة لمدة لا تتجاوز خمسة عشر عاما بناء على قانون. ويحدد القانون أحكام التصرف فى أملاك الدولة الخاصة» والقواعد والإجراءات المنظمة لذلك. -17- ===== Page 24 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثانى: المقومات الاقتصادية",constitution
٣٣,تحمى الدولة الملكية بأنواعها الثلاثة» الملكية العامة» والملكية الخاصة؛ والملكية التعاونية.,constitution
٣٤,للملكية العامة حرمة؛ لا يجوز المساس بهاء وحمايتها واجب وفقًا للقانون.,constitution
٣٥,"الملكية الخاصة مصونة؛ وحق الإرث فيها مكفول, ولا يجوز فرض الحراسة عليها إلا فى الأحوال المبينة فى القانون» وبحكم قضائىء ولا تنزع الملكية إلا للمنفعة العامة ومقابل تعويض عادل يدفع مقدمًا وفقا للقانون.",constitution
٣٦,تعمل الدولة على تحفيز القطاع الخاص لأداء مسؤليته الاجتماعية فى خدمة الاقتصاد الوطنى والمجتمع.,constitution
٣٧,حمايتهاء ودعمهاء ويصمن استقلالها. ولا يجوز حلها أو حل مجالس إدارتها إلا بحكم قضائى. - 18- ===== Page 25 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثانى: المقومات الاقتصادية,constitution
٣٨,يهدف النظام الضريبى وغيره من التكاليف العامة إلى تنمية موارد لا يعون إنشاء الضرائب العامة أو تعديلهاء أو إلغاؤهاء إلا بقانون» ولا يجوز الإعفاء منها إلا فى الأحوال المبينة فى القانون. ولا يجوز تكليف أحد أداء غير ذلك من الضرائبء أو الرسومء إلا فى حدود القانون. ويراعى فى فرض الضرائب أن تكون متعددة المصادر. وتكون الضرائب على دخول الأفراد تصاعدية متعددة الشرائح وفقا لقدراتهم التكليفية» ويكفل النظام الضريبى تشجيع الأنشطة الاقتصادية كثيفة العمالة» وتحفيز دورها فى التنمية الاقتصادية؛ والاجتماعية» والثقافية. تلتزم الدولة بالارتقاء بالنظام الضريبىء وتبنى النظم الحديثة التى تحفق الكفاءة واليسر والإحكام فى تحصيل الضرائب. ويحدد القانون طرق وأدوات تحصيل الضرائب» والرسوم. وأى متحصلات سيادية أخرىء وما يودع منها فى الخزانة العامة للدولة. وأداء الضرائب واجبء والتهرب الضريبى جريمة.,constitution
٣٩,الادخار واجب وطنى تحميه الدولة وتشجعه» وتضمن المدخرات» وفقا لما ينظمه القانون.,constitution
٤٠,المصادرة العامة للأموال محظورة. ولا تجوز المصادرة الخاصة.؛ إلا بحكم قضائى. - 19 - ===== Page 26 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثانى: المقومات الاقتصادية,constitution
٤١,تلتزم الدولة بتنفيذ برنامج سكانى يهدف إلى تحقيق التوازن بين البشرية وتحسين خصائصهاء وذلك فى إطار تحقيق التنمية المستدامة.,constitution
٤٢,يكون للعاملين نصيب فى إدارة المشروعات وفى أرباحهاء ويلتزمون بتنمية الإنتاج وتنفيذ الخطة فى وحداتهم الإنتاجية» وفقا ويكون تمثيل العمال فى مجالس إدارة وحدات القطاع العام بنسبة خمسين فى المائة من عدد الأعضاء المنتخبين» ويكون تمثيلهم فى مجالس إدارات شركات قطاع الأعمال العام وفقا للقانون. وينظم القانون تمثيل صغار الفلاحين» وصغار الحرفيين» بنسبة لا تقل عن ثمانين فى المائة فى مجالس إدارة الجمعيات التعاونية الزراعية والصناعية والحرفية.,constitution
٤٣,تلتزم الدولة بحماية قناة السويس ودذ تنميتهاء والحفاظ عليها . بصفتها ممراً مائياً دولياً مملوكاً لهاء كما تلتزم بتنمية قطاع القناة» باعتباره مركزا اقتصاديا متميزا. -20- ===== Page 27 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثانى: المقومتت الاقتصادية,constitution
٤٤,تلتزم الدولة بحماية نهر النيل» والحفاظ على حقوق مصر التاريخية المتعلقة به» وترشيد الاستفادة منه وتعظيمهاء وعدم إهدار مياهه أو تلويثها. كما تلتزم الدولة بحماية مياهها الجوفية» واتخاذ الوسائل الكفيلة بتحقيق الأمن المائي ودعم البحث العلمى فى هذا المجال. وحق كل مواطن في التمتع بنهر النيل مكفول» ويحظر التعدى على حرمه أو الإضرار بالبيئة النهرية» وتكفل الدولة إزالة ما يقع عليه من تعديات؛ وذلك على النحو الذى ينظمه القانون.,constitution
٤٥,تلتزم الدولة بحماية بحارها وشواطئها وبحيراتها وممراتها المائية ومحمياتها الطبيعية. ويحظر التعدى عليهاء أوتلويثهاء أو استخدامها فيما يتنافى مع طبيعتهاء وحق كل مواطن فى التمتع بها مكفول؛ كما تكفل الدولة حماية وتنمية المساحة الخضراء فى الحضرء والحفاظ على الثروة النباتية والحيوانية والسمكية» وحماية المعرض منها للانقراض أو الخطرء والرفق بالحيوان» وذلك كله على النحو الذى ينظمه القانون.,constitution
٤٦,والاستخدام الرشيد للموارد الطبيعية بما يكفل تحقيق التنمية المستدامة. وضمان حقوق الأجيال القادمة فيها. -21- ===== Page 28 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثالث المقومات الثقافية,constitution
٤٧,تلتزم الدولة بالحفاظ على الهوية الثقافية المصرية بروافدها الحضارية المتنوعة.,constitution
٤٨,الثقافة حق لكل مواطنء تكفله الدولة وتلتزم بدعمه وبإتاحة المواد الثقافية بجميع أنواعها لمختلف فئات الشعب» دون تمييز بسبب القدرة المالية أو الموقع الجغرافى أو غير ذلك. وتولي اهتماماً خاصاً بالمناطق النائية والفئات الأكثر احتياجاً. وتشجع الدولة حركة الترجمة من العربية وإليها.,constitution
٤٩,تلتزم الدولة بحماية الآثار والحفاظ عليهاء ورعاية مناطقهاء وصيانتهاء وترميمهاء واسترداد ما استولى عليه منهاء وتنظيم التنقيب عنها والإشراف عليه. ويحظر إهداء أو مبادلة أى شئ منها. والاعتداء عليها والاتجار فيها جريمة لا تسقط بالتقادم. -22- ===== Page 29 ===== دستور جمهورية مصر العربية الباب الثانى: المقومات الأساسية للمجتمع الفصل الثالث: المقومتت الثقافية,constitution
٥٠,"تراث مصر الحضارى والثقافى» المادى والمعنوى, بجميع تنوعاته ومراحله الكبرى» المصرية القديمة» والقبطية؛ والإسلامية» ثروة قومية المعاصر المعمارى والأدبى والفنى بمختلف تنوعاته؛ والاعتداء على أى من ذلك جريمة يعاقب عليها القانون. وتولى الدولة اهتماما خاصا بالحفاظ على مكونات التعددية الثقافية فى مصر. - 23 - ===== Page 30 ===== دستور جمهورية مصر العربية الباب الثالث الحقوق والحريات والواجبات العامة",constitution
٥١,الكرامة حق لكل إنسان» ولا يجوز المساس بهاء وتلتزم الدولة باحترامها وحمايتها.,constitution
٥٢,التعذيب بجميع صوره وأشكاله. جريمة لا تسقط بالتقادم.,constitution
٥٣,"المواطنون لدى القانون سواء؛ وهم متساوون فى الحقوق والحريات والواجبات العامة له تمييز بينهم يسيب الدين» أو العقيدة, أو الجنس» أو الأصلء أو العرقء أو اللون» أو اللغة2» أو الإعاقة.» أو المستوى الإجتماعىء أو الانتماء السياسى أو الجغرافى» أو لأى سبب آخر. التمييز والحض على الكراهية جريمة» يعاقب عليها القانون. تلتزم الدولة باتخاذ التدابير اللازمة للقضاء على كافة أشكال التمييز» وينظم القانون إنشاء مفوضية مستقلة لهذا الغرض.",constitution
٥٤,"الحرية الشخصية حق طبيعيء وهى مصونة لا ثُمسء وفيما عدا حالة التلبس» لا يجوز القبض على أحد. أو تفتيشه. أو حبسه. أو تقبيد حريته بأى قيد إلا بأمر قضائى مسبب يستلزمه التحقيق. - 24 - ===== Page 31 ===== دستور جمهورية مصر العربية الباب الثالث: الحقوق والحريات والواجبات العامة ويجب أن يُبلغ فوراً كل من تقيد حريته بأسباب ذلك» ويحاط بحقوقه كتابة» ويُمكّن من الاتصال بذويه وبمحاميه فوراء وأن يقدم إلى سلطة التحقيق خلال اربع وعشرين ساعة من وقت تقييد حريته. نُدب له محام» مع توفير المساعدة اللازمة لذوى الإعاقة, وفقا للإجراءات المقررة فى القانون. ولكل من تقيد حريته. ولغيره» حق التظلم أمام القضاء من ذلك الإجراء؛ والفصل فيه خلال أسبوع من ذلك الإجراءء وإلا وجب الإفراج عنه فورا. وينظم القانون أحكام الحبس الاحتياطىء ومدته؛ وأسبابه» وحالات استحقاق التعويض الذى تلتزم الدولة بأدائه عن الحبس الاحتياطىء أو عن تنفيد عقوبة صدر حكم بات بإلغاء الحكم المنفذة بموجبه. وفى جميع الأحوال لا يجوز محاكمة المتهم فى الجرائم التى يجوز الحبس فيها إلا بحضور محام موكل أو مُنتدب.",constitution
٥٥,"كل من يقبض عليه» أو يحبسء أو تقيد حريته تجب معاملته بما يحفظ عليه كرامته؛ ولا يجوز تعذيبه» ولا ترهيبه؛ ولا إكراهه؛ ولا إيذاؤه بدنيًا أو معنويّاء ولا يكون حجزه؛ أو حبسه إلا في أماكن مخصصة لذلك لائقة إنسانيًا وصحياآء وتلتزم الدولة بتوفير وسائل الإتاحة للأشخاص ذوى الإعاقة. ومخالفة شيء من ذلك جريمة يعاقب مرتكبها وفقا للقانون. وللمتهم حق الصمت. وكل قول يثبت أنه صدر من محتجز تحت وطأة شىء مما تقدم, أو التهديد بشىء منه» يهدر ولا يعول عليه. - 25 ===== Page 32 ===== دستور جمهورية مصر العربية الباب الثالث: الحقوق والحريات والواجبات العامة",constitution
٥٦,السجن دار إصلاح وتأهيل. تخضع السجون وأماكن الاحتجاز للإشراف القضائىء ويحظر فيها كل ما ينافى كرامة الإنسان» أو يعرض صحته للخطر. وينظم القانون أحكام إصلاح وتأهيل المحكوم عليهم» وتيسير سبل الحياة الكريمة لهم بعد الإفراج عنهم.,constitution
٥٧,للحياة الخاصة حرمة. وهى مصونة لا تمس. وللمراسالات البريدية. والبرقية. والإلكترونية» والمحادثات الهاتفية» وغيرها من وسائل الاتصال حرمة» وسريتها مكفولة» ولا تجوز مصادرتهاء أو الاطلاع عليهاء أو رقابتها إلا بأمر قضائى مسبيب» ولمدة محددة؛ وفى الأحوال التى يبينها القانون. كما تلتزم الدولة بحماية حق المواطنين فى استخدام وسائل الاتنصال منهاء بشكل تعسفىء وينظم القانون ذلك.,constitution
٥٨,للمنازل حرمة؛ وفيما عدا حالات الخطرء أو الاستغاثة لا يجوز دخولهاء ولا تفتيشهاء ولا مراقبتها أو التنصت عليها إلا بأمر قضائى مسببء يحدد المكان» والتوقيت» والغرض منه.؛ وذلك كله فى الأحوال المبينة فى القانون» وبالكيفية التى ينص عليهاء ويجب تنبيه من فى المنازل عند دخولها أو تفتيشهاء وإطلاعهم على الأمر الصادر فى هذا الشان. - 26 - ===== Page 33 ===== دستور جمهورية مصر العربية الباب الثالث: الحقوق والحريات والواجبات العامة,constitution
٥٩,الحياة الآمنة حق لكل إنسان» وتلتزم الدولة بتوفير الأمن والطمأنينة لمواطنيهاء ولكل مقيم على أراضيها.,constitution
٦٠,لجسد الإنسان حرمة. والاعتداء عليه. أو تشويهه» أو التمثيل به جريمة يعاقب عليها القانون. ويحظر الاتجار بأعضائه؛ ولا يجوز إجراء أية تجربة طبية» أو علمية عليه بغير رضاه الحر الموثق» ووفقا للأسس المستقرة فى مجال العلوم الطبية» على النحو الذى ينظمه القانون.,constitution
٦١,التبرع بالأنسجة والأعضاء هبة للحياة» ولكل إنسان الحق فى التبرع بأعضاء جسده فى أثتاء حياته أو بعد مماته بمووجب موافقة أو وصية موثقة» وتلتزم الدولة بإنشاء آلية لتنظيم قواعد التبرع بالأعضاء وزراعتها وفقا للقانون.,constitution
٦٢,حرية التنقل» والإقامة. والهجرة مكفولة. ولا يجوز إبعاد أى مواطن عن إقليم الدولة» ولا منعه من العودة إليه. عليه أو حظر الإقامة فى جهة معينة عليه» إلا بأمر قضائى مسبب ولمدة محددة؛ وفى الأحوال المبينة فى القانون. -27- ===== Page 34 ===== دستور جمهورية مصر العربية الباب الثالث: الحقوق والحريات والواجبات العامة,constitution
٦٣,يحظر التهجير القسرى التعسفى للمواطنين بجميع صوره وأشكاله؛ ومخالفة ذلك جريمة لا تسقط بالتقادم.,constitution
٦٤,وحرية ممارسة الشعائر الدينية وإقامة دور العبادة لأصحاب الأديان السماوية» حق ينظمه القانون.,constitution
٦٥,حرية الفكر والرأى مكفولة. ولكل إنسان حق التعبير عن رأيه بالقولء أو الكتابة» أو التصويرء أو غير ذلك من وسائل التعبير والنشر.,constitution
٦٦,حرية البحث العلمى مكفولة» وتلتزم الدولة برعاية الباحثين والمخترعين وحماية ابتكاراتهم والعمل على تطبيقها.,constitution
٦٧,حرية الإبداع الفنى والأدبى مكفولة» وتلتزم الدولة بالنهوض بالفنون والآداب» ورعاية المبدعين وحماية إبداعاتهم» وتوفير وسائل التشجيع اللازمة لذلك. -28- ===== Page 35 ===== دستور جمهورية مصر العربية الباب الثالث: الحقوق والحريات والواجبات العامة ولا يجوز رفع أو تحريك الدعاوى لوقف أو مصادرة الأعمال الفنية والأدبية والفكرية أو ضد مبدعيها إلا عن طريق النيابة العامة» ولا توقع عقوبة سالبة للحرية فى الجرائم التى ترتكب بسبب علانية المنتج الفنى أو الأدبى أو الفكرىء أما الجرائم المتعلقة بالتحريض على العنف أو التمييز بين المواطنين أو الطعن فى أعراض الأفرادء فيحدد القانون عقوباتها. وللمحكمة فى هذه الأحوال إلزام المحكوم عليه بتعويض جزائى للمضرور من الجريمة» إضافة إلى التعويضات الأصلية المستحقة له عما لحقه من أضرار منهاء وذلك كله وفقاً للقانون.,constitution
